Rank,Name,Score,Provisional Rank,Provisional Score,Performance,Old Rating(β),Change,New Rating(β)
242,serane,896914333,250,45019460,1497,0,+497,497
243,cunitac,893006090,248,47178853,1495,1845,+10,1855
244,poka,890851911,252,44336621,1492,930,+175,1105
245,qLethon,887674151,251,44519237,1489,2080,+4,2084
246,take911,863818145,254,43416213,1486,1151,+91,1242
247,Ushiiin,855736057,255,43018190,1483,1067,+114,1181
248,negibose2020,830950724,253,43571708,1480,1117,+85,1202
249,NSpenguin,809725774,259,39558738,1477,687,+275,962
250,bubblemanTG,807007074,257,40673641,1474,19,+484,503
251,mcw1142,803987470,256,41419121,1472,0,+472,472
252,TowersofHanoi,798371655,258,40249778,1469,1714,+19,1733
253,doDaylightCycle,787995670,260,39110703,1466,1270,+59,1329
254,EgorLifar,781367511,261,38529107,1463,858,+206,1064
255,jjjjjjjtgpptmjj,771438533,266,37865826,1460,1652,+17,1669
256,bqn,770981246,264,38066506,1457,1256,+63,1319
257,ogino,764407629,263,38321645,1454,0,+454,454
258,katsunori,760767039,262,38413095,1452,1151,+81,1232
259,mn_7545,760139203,265,37971832,1449,0,+449,449
260,iis914,734804888,267,36712909,1446,838,+160,998
261,hexa0611,723715658,269,34646204,1443,992,+136,1128
262,cleantted,695517973,268,35392890,1440,1315,+53,1368
263,Trust,693117699,271,33658082,1437,324,+427,751
264,kyopuroyaruka,672128110,274,33179993,1435,0,+435,435
265,ToastUz,670575178,275,32838844,1432,1570,+24,1594
266,socha,665669839,280,30921726,1429,0,+429,429
267,miisuke,654756352,276,32389009,1426,875,+160,1035
268,falc8000,641074866,277,31486763,1423,606,+260,866
269,side,634987950,273,33441087,1421,1031,+92,1123
270,hotate29,632112799,278,31072693,1418,774,+170,944
271,K_SIO,613708770,281,30678167,1415,1111,+72,1183
272,nisui258,595509012,192,109340699,1412,1343,+44,1387
273,nahcnuj,572132131,283,28395194,1409,340,+404,744
274,nyk510,562897313,282,28980657,1407,0,+407,407
275,tardigrade,555598640,270,34036734,1404,791,+186,977
276,matsu7874,553419345,285,27474518,1401,1381,+33,1414
277,kuretchi,551700181,146,160897339,1398,1589,+21,1610
278,Pech1,550253531,286,27067105,1395,627,+266,893
279,nahco314,547688162,284,27484734,1393,1525,+24,1549
280,masas1991,514313408,287,25289833,1390,1248,+55,1303
281,tacloth,512310565,305,18529151,1387,0,+387,387
282,threecourse,478800301,289,23942993,1384,1845,+10,1855
283,yk109,468897671,291,23182389,1382,1277,+43,1320
284,ak5030,454588693,288,24337458,1379,0,+379,379
285,sh4869,450321240,292,22701481,1376,0,+377,377
286,kkiizz,449750691,279,30924965,1373,0,+374,374
287,Nzt3,444656107,293,22138418,1371,939,+118,1057
288,penpenpen,430438507,296,21068141,1368,370,+366,736
289,yunix,428399191,295,21149958,1365,1368,+40,1408
290,keroru,424890142,294,21355247,1362,1251,+44,1295
291,toyuzuko,420173300,298,20794299,1359,1317,+35,1352
292,ntk_ta01,411505711,300,20003915,1357,1291,+37,1328
293,zauberer,410997265,297,20794329,1354,1793,+12,1805
294,terachima,410522519,360,7491722,1351,0,+354,354
295,Reuven,400492944,303,19182589,1348,0,+352,352
296,nanamet,396256323,301,19357639,1346,184,+418,602
297,pano,394496452,306,18477119,1343,360,+359,719
298,satanic0258,367426622,302,19300962,1340,1958,+2,1960
299,uuuu_s,314427428,307,15630172,1337,1172,+57,1229
300,kakitamasziru,307989052,489,0,1335,275,+389,664
301,atsushi015,288628657,308,14314806,1332,150,+413,563
302,toku4388,277025810,309,13963574,1329,1495,+22,1517
303,yupiteru,260899733,313,12839284,1326,1602,+17,1619
304,David_S,260632596,312,13010620,1323,0,+330,330
305,moxn_nxom,255900441,314,12744820,1321,0,+328,328
306,serpent,253893581,311,13297757,1318,804,+129,933
307,hamuhei4869,253017841,316,12202720,1315,1242,+51,1293
308,nyst,236160870,318,11717143,1312,1207,+56,1263
309,satashun,233001646,319,11444240,1310,694,+209,903
310,makio93,232067179,317,11841244,1307,931,+102,1033
311,nasubi24,230726279,315,12665072,1304,1084,+68,1152
312,r_mita,219829676,320,10855295,1301,161,+394,555
313,RedyYuh,216880794,321,10829312,1299,616,+193,809
314,sakiyosshi,211888749,322,10508215,1296,0,+308,308
315,fujiyama,206401211,323,10254748,1293,895,+110,1005
316,spady,204433285,324,10157164,1290,936,+92,1028
317,seven_three,200304525,325,10037760,1287,324,+321,645
318,kit84,199455885,326,9885303,1285,1057,+59,1116
319,ue1221,189892937,304,18540256,1282,1094,+68,1162
320,KoseT,185772461,329,9237694,1279,161,+380,541
321,yatabis,184616330,330,9234101,1276,1291,+30,1321
322,Nanashima,182006700,331,9069833,1274,34,+328,362
323,oyaki,180995172,332,9061506,1271,790,+124,914
324,rinrion,179528437,334,8937835,1268,921,+84,1005
325,y61mpnl,178469909,333,8977500,1265,1369,+25,1394
326,Nyaan,176628807,337,8809676,1262,1635,+12,1647
327,kt_soup,174577149,340,8733041,1260,0,+282,282
328,Kist,173635288,342,8660212,1257,85,+350,435
329,tsbkw,173140916,339,8760596,1254,17,+296,313
330,tt6mzn,170618669,343,8631128,1251,105,+355,460
331,tktk_snsn,168552792,344,8349380,1248,1004,+94,1098
332,yahoobb,168465335,335,8843232,1246,1426,+17,1443
333,randypop,168404544,338,8777156,1243,0,+270,270
334,cmiki,164618476,345,8226776,1240,0,+268,268
335,Raclamusi,160120827,346,8127468,1237,1614,+10,1624
336,mrng,153577216,347,7657819,1234,447,+275,722
337,ykst51,152823605,349,7646935,1231,843,+122,965
338,west321kei,151577818,350,7550038,1229,559,+229,788
339,doni69,150954305,352,7526176,1223,0,+257,257
339,qxa,150954305,351,7526176,1223,829,+142,971
339,ktr216,150954305,353,7526176,1223,52,+307,359
342,jj1guj,150919875,355,7524306,1217,914,+88,1002
343,cottoncotton,150913304,358,7522492,1214,2029,+1,2030
344,st2d,150912920,354,7524510,1211,948,+75,1023
345,ryuusagi,150912730,359,7522484,1209,1268,+27,1295
346,AFOer,150082925,361,7481189,1206,635,+195,830
347,Bom164,147137788,362,7384309,1203,0,+244,244
348,ramdos,145808534,363,7272125,1200,830,+103,933
349,pengin,145575144,364,7227120,1197,1123,+60,1183
350,mimisan,142193521,328,9443009,1194,0,+239,239
351,Akaneburyo,139981909,367,6945869,1191,0,+237,237
352,takechanman_,138337716,368,6892780,1188,115,+318,433
353,allegrogiken,131794613,371,6526000,1185,1270,+32,1302
354,mezzou,131166842,372,6411546,1183,0,+232,232
355,kento_kun,129222535,370,6537825,1180,0,+231,231
356,delta71,128188634,369,6552780,1177,926,+69,995
357,odakuraf,127334899,348,7650441,1174,0,+227,227
358,HAPPA,126984434,357,7524306,1171,1451,+13,1464
359,Vort_EX,122237790,373,6116899,1168,490,+183,673
360,sh_mug,122029190,377,6082166,1163,1458,+12,1470
360,miau,122029190,376,6082166,1163,997,+51,1048
362,y_yu,121098589,378,6035789,1159,701,+121,822
363,stupidfoolish,121063963,375,6082166,1156,0,+217,217
364,oshake,119376553,380,5951907,1153,0,+216,216
365,granddaifuku,118757915,336,8836540,1150,0,+214,214
366,kanzakihikaru,117160261,381,5841717,1147,752,+108,860
367,h2d5,111938066,383,5575614,1144,797,+84,881
368,yu0727harada,85034627,384,4070520,1141,1052,+50,1102
369,TAKANET,81268291,385,4029576,1138,787,+118,905
370,pytran,74497865,356,7524306,1135,0,+206,206
371,kotet,70948237,388,3624962,1132,1328,+21,1349
372,Romann,70780733,387,3827838,1129,1057,+40,1097
373,Mcik,68353761,366,7012228,1126,362,+264,626
374,ir_1st_vil,64507790,327,9588243,1123,1353,+18,1371
375,Genius3435,62541974,365,7078595,1120,403,+246,649
376,judgelaw,62189252,389,3103988,1116,1120,+40,1160
377,hkawaguc,51152088,390,2570515,1113,1217,+27,1244
378,ariver78,50521754,161,143598817,1110,1176,+36,1212
379,i8fbnkyw,49061911,392,2412490,1107,1428,+13,1441
380,spa15332,45008031,391,2455513,1104,720,+140,860
381,rsg23,44407460,395,2236020,1099,0,+189,189
381,CICN,44407460,394,2236020,1099,0,+189,189
383,D2029AAE2EF6,44317849,400,2157102,1094,723,+85,808
384,Shiro_S,44209731,397,2203938,1091,1278,+20,1298
385,Manuel1024,44118557,396,2220143,1088,1077,+32,1109
386,zepp,44110950,398,2180615,1085,694,+102,796
387,TakeruOkuyama,44103054,399,2161417,1082,594,+134,728
388,Suu0313,42946918,402,2110254,1078,1326,+21,1347
389,gmmtea,42037256,401,2112338,1075,892,+52,944
390,pacman21,41810399,403,2081832,1072,0,+176,176
391,Tmarut,41575343,404,2055555,1068,0,+175,175
392,Itsnk,41373302,489,0,1065,110,+245,355
393,Strorkis,40803615,393,2354466,1062,1514,+6,1520
394,ntukey,40801695,405,2021370,1059,0,+170,170
395,shurunner,34258716,386,3838657,1055,0,+169,169
396,yosh1,31056100,409,1320294,1052,625,+151,776
397,samoshi,29104400,406,1422260,1048,0,+166,166
398,S_shun,27859516,407,1398234,1045,455,+201,656
399,tonakai,25394692,410,1280399,1042,1104,+29,1133
400,pui1,18037091,374,6082166,1038,0,+162,162
401,Tomii9273,15747951,246,47592895,1035,1532,+5,1537
402,Riceball,15668371,411,1229746,1031,0,+159,159
403,C7BMkOO7Qbmcwck7,11080938,489,0,1028,2335,+0,2335
404,emankcin,9809052,413,513389,1024,1076,+27,1103
405,tokage57,8821240,414,463638,1021,34,+188,222
406,tmptmptmp,6534373,415,341815,1017,0,+154,154
407,numpex,5099665,221,65529608,1014,166,+234,400
408,Subarna578,4746757,430,239841,956,17,+150,167
408,beta,4746757,434,239841,956,407,+167,574
408,silviase,4746757,433,239841,956,808,+74,882
408,Mitsubachi,4746757,421,239841,956,0,+132,132
408,kys,4746757,419,239841,956,0,+132,132
408,MaoZiNing,4746757,442,239841,956,0,+132,132
408,MtSaka,4746757,416,239841,956,731,+57,788
408,sasasasasasasa,4746757,424,239841,956,0,+132,132
408,capy,4746757,418,239841,956,0,+132,132
408,shindannin,4746757,443,239841,956,1822,+1,1823
408,Kichico,4746757,445,239841,956,621,+93,714
408,hiroki5345,4746757,439,239841,956,0,+132,132
408,thehunterjames,4746757,425,239841,956,0,+132,132
408,sotozaki,4746757,417,239841,956,1174,+15,1189
408,kyon2326,4746757,422,239841,956,104,+193,297
408,gyzgyz,4746757,431,239841,956,0,+132,132
408,hassybirobiro,4746757,444,239841,956,0,+132,132
408,Chisuzu,4746757,420,239841,956,0,+132,132
408,ATP0908,4746757,437,239841,956,0,+132,132
408,keizin,4746757,440,239841,956,0,+132,132
408,BURI,4746757,441,239841,956,682,+113,795
408,Tsukamachi,4746757,426,239841,956,0,+132,132
408,kiichan,4746757,428,239841,956,0,+132,132
408,batomomo9,4746757,423,239841,956,52,+173,225
408,Sekin,4746757,438,239841,956,0,+132,132
408,JeffBacher,4746757,436,239841,956,0,+132,132
408,dead_X,4746757,435,239841,956,52,+173,225
408,saint_min,4746757,427,239841,956,0,+132,132
408,forest3,4746757,432,239841,956,428,+157,585
437,hudebako752,3259879,446,162413,894,176,+187,363
438,rui_er,2477208,448,120901,890,161,+182,343
439,peria,1857714,412,598657,885,161,+180,341
440,megaD,1514814,451,82775,881,0,+109,109
441,MarioChao,1106302,452,56431,876,36,+138,174
442,nakamurk,1105683,453,54490,871,704,+56,760
443,boomslang,881787,454,49021,867,664,+60,724
444,burita083,862426,463,46887,862,0,+104,104
445,Lafolia,857990,467,42241,857,1253,+15,1268
446,pokmui9909,856648,457,46897,852,18,+119,137
447,Tokuzoo,854822,465,43782,847,0,+100,100
448,CAB314,854503,462,46887,834,458,+138,596
448,hapigamja,854503,458,46887,834,0,+97,97
448,KBTIT,854503,459,46887,834,978,+24,1002
448,Ryuku,854503,460,46887,834,0,+97,97
452,syunsuke7,848922,464,44831,822,0,+94,94
453,LYC_,830337,456,47568,816,0,+93,93
454,milkcoffee,826795,469,36772,805,1409,+4,1413
454,kumjin3141,826795,471,36772,805,839,+42,881
454,TkOnL,826795,470,36772,805,153,+131,284
457,NeoNuc2001,811888,466,43429,794,161,+149,310
458,shu8Cream,792394,455,48406,789,768,+44,812
459,hageron,434908,450,115998,783,269,+157,426
460,oka111111101,126889,489,0,777,0,+84,84
461,zoidzium,6175,310,13476833,771,383,+110,493
462,jbyxm,1000,483,50,712,1055,+9,1064
462,mstk,1000,481,50,712,0,+72,72
462,shinnshinn,1000,476,50,712,0,+72,72
462,PCTprobability,1000,488,50,712,555,+64,619
462,mim_afol,1000,484,50,712,372,+114,486
462,akouryy,1000,341,8730438,712,1769,+1,1770
462,monnu,1000,479,50,712,2216,+0,2216
462,fuyutsubaki,1000,475,50,712,649,+51,700
462,Taka007,1000,487,50,712,36,+97,133
462,ogami,1000,485,50,712,0,+72,72
462,krps,1000,486,50,712,535,+92,627
462,hal_goldfish,1000,478,50,712,1237,+7,1244
462,gojira_ku,1000,473,50,712,1440,+2,1442
462,Rssll_Krkgrd,1000,482,50,712,657,+36,693
462,keisuke6,1000,477,50,712,143,+110,253
462,watarimaycry2,1000,472,50,712,599,+51,650
462,magurofly,1000,480,50,712,1084,+9,1093
479,chenjianian,0,489,0,349,0,+29,29
479,arad,0,489,0,349,0,+29,29
479,Shirona_Takizaki,0,489,0,349,52,+49,101
479,th90tk297,0,447,120901,349,1088,+2,1090
479,brthyyjp,0,429,239841,349,885,+5,890
479,OEC,0,489,0,349,0,+29,29
479,mikurikuri,0,461,46887,349,41,+47,88
479,xxxjune,0,408,1395528,349,0,+29,29
479,CharlieZ,0,489,0,349,0,+29,29
479,Jur_Cai,0,489,0,349,0,+29,29
479,yn0moto,0,468,36772,349,0,+29,29
479,westriver,0,290,23623342,349,232,+48,280
479,Taisei2001,0,474,50,349,966,+5,971
479,aviral,0,489,0,349,36,+45,81
479,ricetta,0,489,0,349,331,+33,364
479,kyo1,0,121,188336076,349,1480,+0,1480
479,psz2007,0,382,5683149,349,0,+29,29
479,kt_tenel,0,489,0,349,1402,+1,1403
479,Isshii,0,489,0,349,594,+20,614
479,yusaku5739,0,489,0,349,0,+29,29
479,PrussianBlue,0,489,0,349,0,+29,29
479,toyama,0,223,62515976,349,0,+29,29
479,baku1101,0,489,0,349,1622,+0,1622
479,tearing,0,489,0,349,0,+29,29
479,qiliangzhe,0,489,0,349,260,+60,320
479,laet,0,379,6035787,349,917,+5,922
479,SDESTINY,0,489,0,349,1076,+2,1078
479,pm__,0,489,0,349,0,+29,29
479,utyukapi,0,489,0,349,61,+50,111
479,Hu_Tao,0,489,0,349,0,+29,29
479,yzyjh,0,489,0,349,0,+29,29
479,Shirotsume,0,213,71903343,349,409,+42,451
479,wlcmtjprprk,0,489,0,349,36,+45,81
479,fkyosuke,0,489,0,349,0,+29,29
479,ccppjsrb,0,25,252310202,349,1208,+1,1209
479,oyu,0,489,0,349,83,+53,136
479,tropolone,0,449,120901,349,680,+11,691
479,iryuki,0,299,20003915,349,399,+56,455
479,orangegummy,0,489,0,349,0,+29,29
479,ShiningStars,0,489,0,349,0,+29,29
479,ryo3284atcoder,0,489,0,349,0,+29,29
